idx  group  line  radius  length  endP0x  endP0y  endP0z  endP1x  endP1y  endP1z
 67      3     47      0.06262     0.18775     124.75124    2.69437     77.62178    124.70101    2.87512    77.62948
 68      3     165      0.05260     0.18464     126.31013    3.16969     77.41872    126.31025    3.16683    77.60334
 69      3     97      0.01979     0.19531     125.35200    3.13154     77.42263    125.34976    3.13034    77.61792
 70      3      6      0.05386     0.19409     126.36411    2.98328     77.41579    126.31013    3.16969    77.41872
 71      3     166      0.04487     0.38993     126.19428    3.56971     77.42500    125.82064    3.46111    77.45045
 72      3     51      0.05198     0.20054     126.36411    2.98328     77.41579    126.34679    2.97063    77.61518
 73      3     88      0.03587     0.11121     125.80866    3.44623     77.34090    125.82064    3.46111    77.45045
 74      3     140      0.05282     1.37662     124.65108    2.44552     77.62840    125.96629    2.85196    77.61923
 75      3     73      0.03689     0.07321     125.74664    3.42885     77.30610    125.80866    3.44623    77.34090
 76      3     146      0.03794     0.74511     124.96746    3.19101     77.33469    125.67994    3.40863    77.34922
 77      3     176      0.03571     0.12118     125.96629    2.85196     77.61923    125.93101    2.96563    77.59647
 78      3     17      0.05565     0.42458     124.65108    2.44552     77.62840    124.52422    2.85064    77.62175
 79      3     40      0.04388     0.18786     125.67994    3.40863     77.34922    125.58882    3.57268    77.34052
 80      3     159      0.03617     5.94286     124.96746    3.19101     77.33469    123.23155    8.87459    77.30212
 81      3     105      0.01861     0.25145     125.88257    2.90570     77.35712    125.93101    2.96563    77.59647
 82      3     68      0.03693     0.38313     123.23155    8.87459     77.30212    123.18912    8.85714    77.68249
 83      3     151      0.03430     0.68252     123.18912    8.85714     77.68249    123.84869    9.02175    77.74341
 84      3     74      0.03134     0.25662     123.84869    9.02175     77.74341    123.77830    9.26807    77.75840
 85      3     205      0.05133     0.92990     125.42042    2.89717     77.61730    126.31025    3.16683    77.60334
 86      3     206      0.05386     0.41651     126.31013    3.16969     77.41872    126.19428    3.56971    77.42500
 87      3     207      0.05386     0.17783     126.19428    3.56971     77.42500    126.14301    3.73997    77.42748
 88      3     208      0.05282     0.39859     125.96629    2.85196     77.61923    126.34679    2.97063    77.61518
 89      3     209      0.03794     0.13436     125.67994    3.40863     77.34922    125.80866    3.44623    77.34090
 90      3     210      0.03617     0.16685     123.23155    8.87459     77.30212    123.18272    9.03341    77.31730
 91      4      5      0.05302     1.29894     127.16640    4.58043     77.46833    126.81234    5.83016    77.46271
 92      4     34      0.05554     0.19276     126.81234    5.83016     77.46271    126.79633    5.81886    77.65447
 93      4     130      0.05666     1.44493     121.41018    4.26409     77.65540    122.79858    4.66431    77.65514
 94      4     15      0.06511     0.19120     122.78022    4.65467     77.46507    122.79858    4.66431    77.65514
 95      4     133      0.06103     0.21313     123.54012    2.19709     77.45513    123.47710    2.40069    77.45596
 96      4     49      0.07011     0.12691     123.02164    3.90591     77.39347    122.98081    4.00427    77.46249
 97      4     167      0.05178     0.16486     123.47710    2.40069     77.45596    123.48413    2.40353    77.29127
 98      4     169      0.05666     0.15961     123.35841    2.78420     77.45752    123.35691    2.78309    77.61712
 99      4      7      0.04252     1.15626     122.36512    2.11724     77.23856    123.48413    2.40353    77.29127
100      4     10      0.05229     0.71006     123.35691    2.78309     77.61712    124.03795    2.98386    77.62493
101      4     211      0.05666     4.16113     122.79858    4.66431     77.65514    126.79633    5.81886    77.65447
102      4     212      0.06103     0.40147     123.47710    2.40069     77.45596    123.35841    2.78420    77.45752
103      4     213      0.06103     1.27717     123.35841    2.78420     77.45752    122.98081    4.00427    77.46249
104      4     214      0.06103     0.68063     122.98081    4.00427     77.46249    122.78022    4.65467    77.46507
105      5      9      0.05463     0.92591     127.15827    4.61378     77.80489    126.89884    5.50252    77.79248
106      6     12      0.05464     0.54693     126.31934    3.22093     77.76740    126.14761    3.74016    77.76036
107      7     13      0.07056     0.42340     121.05520    5.14497     77.48596    120.97615    5.46101    77.75639
108      7     129      0.07185     2.24868     122.07136    1.74334     77.49096    121.42623    3.89749    77.48786
109      7     126      0.06748     3.28849     120.97615    5.46101     77.75639    120.07950    8.62446    77.70386
110      7     170      0.06527     0.21964     121.42623    3.89749     77.48786    121.41603    3.89412    77.26848
111      7     20      0.05816     0.23673     120.07950    8.62446     77.70386    120.05780    8.62484    77.93959
112      7     16      0.05869     0.28768     121.14480    3.79859     77.27701    121.41603    3.89412    77.26848
113      7     120      0.05785     2.13262     110.97603    5.99524     77.93986    113.02471    6.58769    77.93978
114      7     148      0.06189     0.42593     121.26296    3.38938     77.27876    121.14480    3.79859    77.27701
115      7     43      0.05678     0.12556     119.08516    8.43252     77.85059    119.10825    8.34697    77.93955
116      7     182      0.05509     0.08032     116.03752    7.45896     77.93966    116.03722    7.45997    77.85935
117      7     183      0.05516     0.07753     113.02471    6.58769     77.93978    113.02394    6.59031    77.86230
118      7     55      0.05752     0.24790     110.92614    5.98517     77.69724    110.97603    5.99524    77.93986
119      7     30      0.05629     0.23096     120.89095    3.27761     77.27486    121.11214    3.34404    77.27622
120      7     147      0.05571     0.63847     119.08516    8.43252     77.85059    118.92109    9.04955    77.84943
121      7     144      0.05232     0.98793     116.03722    7.45997     77.85935    115.77298    8.41165    77.83720
122      7     145      0.05247     0.71239     113.02394    6.59031     77.86230    112.81511    7.27140    77.86149
123      7     131      0.05664     0.39921     111.70315    3.20893     77.71006    111.59556    3.59336    77.70829
124      7     184      0.05642     0.17459     121.11214    3.34404     77.27622    121.11403    3.33420    77.45052
125      7     171      0.04959     0.09457     120.89212    3.27567     77.18032    120.89095    3.27761    77.27486
126      7     101      0.02212     0.48547     115.76450    8.41282     77.35181    115.77298    8.41165    77.83720
127      7     181      0.05649     0.10214     111.59556    3.59336     77.70829    111.59591    3.59393    77.81043
128      7     63      0.05976     0.31031     109.83909    8.71796     77.68828    110.13780    8.80185    77.68329
129      7     152      0.05655     0.37434     121.11403    3.33420     77.45052    121.01833    3.69546    77.47196
130      7     137      0.04289     1.47786     121.29959    1.85550     77.21445    120.89212    3.27567    77.18032
131      7     124      0.05634     8.39628     111.59591    3.59393     77.81043    119.65828    5.93795    77.77467
132      7     93      0.04024     0.15960     120.47593    4.15505     77.18379    120.62732    4.19857    77.15814
133      7     78      0.04909     0.19987     120.14984    5.13948     77.14732    120.34095    5.19706    77.13679
134      7     21      0.06046     0.50928     119.82403    5.45641     77.77864    119.65828    5.93795    77.77467
135      7     215      0.07185     1.30149     121.42623    3.89749     77.48786    121.05520    5.14497    77.48596
136      7     216      0.05785     3.13626     113.02471    6.58769     77.93978    116.03752    7.45896    77.93966
137      7     217      0.05785     3.19656     116.03752    7.45896     77.93966    119.10825    8.34697    77.93955
138      7     218      0.05785     0.98937     119.10825    8.34697     77.93955    120.05780    8.62484    77.93959
139      7     219      0.05629     0.15751     121.11214    3.34404     77.27622    121.26296    3.38938    77.27876
140      7     220      0.05664     2.48374     111.59556    3.59336     77.70829    110.92614    5.98517    77.69724
141      7     221      0.05664     2.92495     110.92614    5.98517     77.69724    110.13780    8.80185    77.68329
142      7     222      0.04289     0.96040     120.89212    3.27567     77.18032    120.62732    4.19857    77.15814
143      7     223      0.04289     1.03896     120.62732    4.19857     77.15814    120.34095    5.19706    77.13679
